index;x;y;z
291;0.001828;-0.636860;0.996558
292;-0.062933;-1.729621;0.936500
293;0.026744;-1.451011;0.409240
294;0.084114;-1.732369;-0.102993
295;0.079881;-1.856035;-0.718007
296;-0.073908;-1.138265;-0.770081
297;0.091174;-1.462175;-0.178182
298;0.047982;-2.160301;-0.193458
299;-0.165726;-1.614918;0.603840
300;0.171267;-1.314591;1.368269
301;-0.014172;-0.434688;1.201996
302;-0.008766;-0.325281;0.960785
303;-0.040450;-0.299309;0.941895
304;-0.028859;-0.167807;0.894911
305;-0.031548;-0.117980;0.910448
306;-0.021713;-0.065169;0.985504
307;-0.113183;-0.407157;1.033876
308;-0.011810;-1.336532;1.006101
309;0.090267;-1.768601;0.352274
310;-0.065060;-1.470804;0.147953
311;0.099445;-1.329119;-0.646580
312;0.072664;-1.011537;-0.790731
313;-0.005854;-0.549324;-0.806615
314;-0.012875;-0.547551;-0.431090
315;0.112435;-0.152325;-0.228106
316;0.041224;-0.226047;-0.015995
317;-0.018974;-0.326561;0.198456
318;-0.032877;-0.258764;0.206811
319;0.041218;-0.213538;0.259558
320;0.004755;-0.209897;0.312537
321;-0.005403;0.015091;0.316207
322;0.007739;-1.940133;-0.778233
323;0.057626;-0.552566;-0.240069
324;-0.129614;-0.372867;-0.156061
325;-0.061977;0.198269;-0.031602
326;0.012263;0.278813;0.216754
327;0.237415;-0.185446;0.127231
328;-0.036462;0.117707;-0.133817
329;-0.071646;0.116908;-0.118344
330;0.037720;-0.078840;0.079192
331;0.067037;-0.071841;0.106180
332;-0.052496;0.077823;-0.090172
333;-0.023791;0.030788;-0.048580
334;0.049465;-0.063548;0.082757
335;-0.025991;0.034355;-0.046383
336;-0.010685;0.018879;-0.030046
337;0.020072;-0.028507;0.037587
338;-0.014777;0.025366;-0.033645
339;0.007166;-0.011629;0.014120
340;0.000628;0.001437;-0.003554
341;-0.002309;0.004816;-0.006871
342;0.004983;-0.004384;0.005054
343;-0.005106;0.007132;-0.009780
344;0.004195;-0.004291;0.004163
345;-0.002795;0.005476;-0.006921
346;0.002289;-0.002028;0.000253
347;-0.001563;0.002961;-0.003907
348;0.002099;0.000799;-0.001298
349;0.000282;0.002399;-0.002417
350;0.000234;0.001884;-0.001659
351;-0.000097;0.001503;-0.001529
352;-0.000405;0.001944;-0.001104
353;0.000611;0.000677;-0.001892
354;-0.000124;0.001562;-0.001591
355;0.000741;0.002858;-0.001761
356;0.000718;0.002062;-0.001657
357;0.000546;0.001652;-0.000724
358;-0.000529;0.000994;-0.001851
359;0.000090;0.000813;-0.001302
360;-0.000105;0.000584;-0.001927
361;0.000145;0.001379;-0.000978
362;0.000133;0.001317;-0.002359
363;0.000655;0.000950;-0.001144
364;0.001031;0.000171;-0.001726
365;0.000361;0.001819;-0.001340
366;0.000237;0.001710;-0.000931
367;-0.000294;0.001404;-0.001062
368;0.000694;0.000334;-0.001040
369;0.000107;0.001187;-0.001751
370;0.000060;0.001384;-0.002000
371;0.000237;0.001491;-0.000212
372;0.000072;0.000666;-0.000344
373;0.000031;0.001809;-0.002039
374;0.000306;0.001320;0.000010
375;-0.000651;0.000921;-0.001252
376;-0.000162;0.000415;-0.000789
377;-0.000025;0.001710;-0.001456
378;0.000114;0.001510;-0.002005
379;0.000201;0.001446;-0.000517
380;0.000126;0.001767;-0.001323
381;0.000148;0.000517;-0.000790
382;0.000237;0.000426;-0.000935
383;0.000492;0.001679;-0.001453
384;0.000265;0.000536;-0.001682
385;0.000997;0.001087;-0.000345
386;-0.000121;0.000675;-0.000549
387;-0.001930;0.002506;0.003265
388;0.019292;-0.020013;0.050296
389;-0.069519;0.076377;-0.161741
390;-0.043623;-0.045343;0.061151
391;0.080488;-0.221343;0.230837
392;0.038191;-0.423212;0.491415
393;-0.004842;-0.174446;0.489318
394;-0.079735;-0.349205;0.488701
395;0.051519;-0.547005;0.181275
396;0.108891;-0.511810;-0.148253
397;0.003078;-0.237372;-0.440657
398;0.008589;-0.249741;-0.749793
399;-0.047629;-0.786561;-0.765342
400;0.078061;-1.142184;-0.726391
401;-0.028930;-1.538266;0.137619
402;0.118030;-1.946310;-0.000902
403;-0.123961;-1.325118;0.707176
404;0.196754;-0.987105;1.289941
