Date,Speed,Altitude,Pressure,X,Y,Z,G,Latitude,Longitude,Heading,Magnetic Field,Sound Level,Luminance,Heart Rate
"2021-02-07 16:02:58.307",0.000000,0.000000,0.000000,0.008408,-2.345154,0.172333,2.351492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:58.407",0.000000,0.000000,0.000000,-0.008835,-2.384872,0.112274,2.387530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:58.507",0.000000,0.000000,0.000000,-0.068542,-1.207489,0.252151,1.235438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:58.607",0.000000,0.000000,0.000000,-0.001648,-2.052292,0.446945,2.100396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:58.707",0.000000,0.000000,0.000000,0.072678,-2.994232,-0.058945,2.995694,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:58.807",0.000000,0.000000,0.000000,-0.019867,-2.576553,0.371078,2.603214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:58.907",0.000000,0.000000,0.000000,0.101578,-1.419113,0.700150,1.585689,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:59.007",0.000000,0.000000,0.000000,0.090286,-0.068924,0.059540,0.128246,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:59.107",0.000000,0.000000,0.000000,0.008057,0.047913,0.073715,0.088286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:59.207",0.000000,0.000000,0.000000,-0.018677,0.093918,0.084534,0.127731,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:59.307",0.000000,0.000000,0.000000,0.037903,0.138916,-0.023911,0.145966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:59.406",0.000000,0.000000,0.000000,0.045593,0.061295,-0.049622,0.091094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:59.507",0.000000,0.000000,0.000000,-0.037689,-0.333740,0.029358,0.337142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:59.607",0.000000,0.000000,0.000000,0.000122,-1.368286,-0.045395,1.369039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:59.706",0.000000,0.000000,0.000000,0.017380,-2.775055,0.292694,2.790502,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:59.807",0.000000,0.000000,0.000000,0.027222,-2.459152,0.261597,2.473177,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:02:59.907",0.000000,0.000000,0.000000,-0.173782,-2.409271,-0.107101,2.417904,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:03:00.007",0.000000,0.000000,0.000000,-0.052948,-1.261780,0.242920,1.286041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:03:00.107",0.000000,0.000000,0.000000,0.022171,-1.974503,0.489975,2.034509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:03:00.207",0.000000,0.000000,0.000000,0.099121,-2.710297,-0.118164,2.714681,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:03:00.307",0.000000,0.000000,0.000000,-0.039642,-2.515015,0.310989,2.534479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:03:00.407",0.000000,0.000000,0.000000,0.157578,-1.466934,0.502686,1.558659,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:03:00.507",0.000000,0.000000,0.000000,0.027908,-0.330917,0.018707,0.332619,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:03:00.607",0.000000,0.000000,0.000000,-0.008636,0.070114,0.047607,0.085188,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:03:00.707",0.000000,0.000000,0.000000,-0.032059,0.226852,0.057358,0.236177,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:03:00.807",0.000000,0.000000,0.000000,0.061401,0.245239,0.008438,0.252950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:03:00.907",0.000000,0.000000,0.000000,-0.008163,0.118027,0.021240,0.120200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
"2021-02-07 16:03:01.007",0.000000,0.000000,0.000000,0.012863,-0.270172,0.054733,0.275960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,HRDATA
